Model,MAE,MSE,RMSE,R2 Score
Linear Regression,887339.158162442,803804463639.8676,896551.4283296121,-103.7940389923312
Ridge Regression,222651.94028726598,51559583951.53171,227067.35553912568,-5.721954524335638
Decision Tree,26011.277397260274,1703769819.7842467,41276.74671996628,0.7778751810858047
Random Forest,18381.99130136986,948512098.0404103,30797.923599496287,0.8763400574604441
Gradient Boosting,16649.138890414004,756558798.1514482,27505.613938820712,0.9013654989741441
XGBoost,18442.44140625,866394432.0,29434.57884869427,0.8870459198951721
